lon,lat,square,cost,category,street,ward,district,city,url
10.84800,106.74560,70,Secret,can-ho-ban-chung-cu-3529,Đường số 30 Linh Đông ,Phường Linh Ðông,Quận Thủ Đức,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-nhanh-can-ho-thu-duc-chi-650tr-can-co-ban-cong-6224634
21.11167,105.82623,63,Secret,can-ho-ban-chung-cu-3529,Xóm 9 - Ngọc Chi - Vĩnh Ngọc - Đông Anh - Hà Nội ,Xã Vĩnh Ngọc,Huyện Đông Anh,TP.Hà Nội,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/du-an-intracom-riverside-vinh-ngoc-dong-anh-du-an-6302504
10.78340,106.61010,65,Secret,can-ho-ban-chung-cu-3529,"819 Hương lộ 2, Hồ Chí Minh, Việt Nam ",Phường Bình Hưng Hoà A,Quận Bình Tân,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-gia-re-q-binh-tan-tt-400-trieu-nhan-nha-gia-6302049
10.76638,106.59828,45,Secret,can-ho-ban-chung-cu-cao-cap-3530, ,Phường Bình Trị Đông A,Quận Bình Tân,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/can-ho-gia-880-tr-can-ngay-trung-tam-binh-tan-tang-6313755
10.78340,106.61010,69,Secret,can-ho-ban-chung-cu-3529, ,Phường Bình Hưng Hoà A,Quận Bình Tân,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/saigon-homes-vi-tri-vang-tt-10-ho-tro-vay-von-70-p-6314440
10.76638,106.59948,65,Secret,can-ho-ban-chung-cu-3529, ,Phường Bình Trị Đông A,Quận Bình Tân,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-2pn-gia-1-3-ty-can-ngay-trung-tam-binh-tan-6313708
21.53951,107.86529,70,Secret,can-ho-ban-chung-cu-3529,Đường 18 Thành phố Móng Cái ,Bãi Cháy,Tp. Hạ Long,Quảng Ninh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/cap-nhat-tien-do-moi-du-an-lien-ke-hon-1-8-ty-can-6314853
21.00219,105.82883,80,Secret,can-ho-ban-chung-cu-3529,"Phòng 202, khu TT C10, ngõ 100, phố Khương Thượng, Đống Đa, Hà Nội ",Phường Khương Thượng,Quận Đống Đa,TP.Hà Nội,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ban-can-ho-so-do-chinh-chu-ngo-100-pho-khuong-6311191
20.96697,107.03828,68,Secret,nha-ban-biet-thu-villa-3525, ,Bãi Cháy,Tp. Hạ Long,Quảng Ninh,http://www.muabannhadat.vn/nha-ban-biet-thu-villa-3525/chi-tu-1-8-ty-can-lien-ke-ngay-gan-vinh-ha-long-6252032
21.01842,105.82408,64,Secret,can-ho-ban-chung-cu-3529,36 Hoàng Cầu Mới ,Phường Ô Chợ Dừa,Quận Đống Đa,TP.Hà Nội,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-can-ho-814-dt-64m2-32tr-m2-tai-ct2a-ao-hoang-c-6325464
21.01842,105.82408,96,Secret,can-ho-ban-chung-cu-3529,36 Hoàng Cầu Mới ,Phường Ô Chợ Dừa,Quận Đống Đa,TP.Hà Nội,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-chinh-chu-1010-95-87m2-toa-ct3-ao-hoang-cau-6326692
10.76764,106.59931,47,Secret,can-ho-ban-chung-cu-3529, ,Phường Bình Trị Đông A,Quận Bình Tân,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-2pn-gia-1-3-ty-can-ngay-trung-tam-binh-tan-6283540
21.02328,105.79316,80,Secret,can-ho-ban-chung-cu-3529,259 Đường Yên Hòa ,Phường Yên Hòa,Quận Cầu Giấy,TP.Hà Nội,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-can-307-yen-hoa-condominium-2pn-79-7-m-6191807
10.80030,106.59270,68,Secret,can-ho-ban-chung-cu-3529, ,Phường Bình Hưng Hoà B,Quận Bình Tân,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-green-town-binh-tan-noi-hoi-tu-cuoc-song-ch-6326666
10.75326,106.58598,54,Secret,can-ho-ban-chung-cu-3529,"4449 Nguyễn Cửu Phú, phường Tân Tạo A, quận Bình Tân, TPHCM ",Phường Tân Tạo A,Quận Bình Tân,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ch-re-nhat-q-binh-tan-gan-kdc-ten-lua-tu-790tr-can-6309151
10.76595,106.59905,65,Secret,can-ho-ban-chung-cu-3529, ,Phường Bình Trị Đông A,Quận Bình Tân,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-2pn-gia-1-3-ty-can-ngay-trung-tam-binh-tan-6298646
