lon,lat,square,cost,category,street,ward,district,city,date_created,date_modified,url
10.74423,106.65105,69,Secret,can-ho-ban-chung-cu-cao-cap-3530,Võ Văn Kiệt Hồ Chí Minh ,Phường 03,Quận 6,TP.Hồ Chí Minh,18.10.2017,20.10.2017,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/xuat-canh-toi-can-ban-can-ho-viva-riverside-69m2-t-6321044
10.74309,106.64764,77,Secret,can-ho-ban-chung-cu-cao-cap-3530,1472 Võ Văn Kiệt ,Phường 03,Quận 6,TP.Hồ Chí Minh,18.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/viva-riverside-chinh-chu-sang-gia-dot-1-23-trieu-m-6320941
10.73988,106.64325,77,Secret,can-ho-ban-chung-cu-cao-cap-3530,1472 Võ Văn Kiệt ,Phường 03,Quận 6,TP.Hồ Chí Minh,18.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/viva-riverside-chinh-chu-sang-gia-dot-1-23-trieu-m-6321285
10.73988,106.64325,75,Secret,can-ho-ban-chung-cu-3529,1472 Võ Văn Kiệt ,Phường 03,Quận 6,TP.Hồ Chí Minh,13.10.2017,13.10.2017,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/chinh-chu-nhuong-lai-b19-07-va-b19-08-khu-chcc-viv-6301536
10.74309,106.64764,68,Secret,can-ho-ban-chung-cu-cao-cap-3530,1472 Võ Văn Kiệt ,Phường 03,Quận 6,TP.Hồ Chí Minh,19.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/chung-cu-viva-mat-duong-vo-van-kiet-trung-tam-q6-t-5794366
10.74250,106.64726,53,Secret,can-ho-ban-chung-cu-cao-cap-3530,1472 Võ Văn Kiệt ,Phường 03,Quận 6,TP.Hồ Chí Minh,20.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/can-ho-viva-riverside-giap-3-mat-tien-vo-van-kiet-6042159
10.74309,106.64764,72,Secret,can-ho-ban-chung-cu-3529,Võ Văn Kiệt Ho Chi Minh City ,Phường 03,Quận 6,TP.Hồ Chí Minh,18.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-gia-re-mt-vo-van-kiet-1ty2-nhan-nha-ngay-5709378
10.76451,106.74686,55,Secret,can-ho-ban-chung-cu-cao-cap-3530,đường xa lô hà nội phường an phú  ,Phường An Phú,Quận 2,TP.Hồ Chí Minh,18.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/can-ho-sieu-re-tai-quan-2-6321275
10.76371,106.69971,30,Secret,can-ho-ban-chung-cu-cao-cap-3530,132 Bến Vân Đồn ,Phường 06,Quận 4,TP.Hồ Chí Minh,19.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/cdt-con-duy-nhat-2-suat-ngoai-giao-officetel-mille-6321348
21.04904,105.80167,98,Secret,can-ho-ban-chung-cu-cao-cap-3530, ,Phường Nghĩa Đô,Quận Cầu Giấy,TP.Hà Nội,20.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/can-ban-can-3pn-98m2-trang-an-complex-tang-dep-ban-6328962
10.74258,106.64773,52,Secret,can-ho-ban-chung-cu-cao-cap-3530,Võ Văn Kiệt ,Phường 03,Quận 6,TP.Hồ Chí Minh,17.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/mo-ban-can-ho-khu-cho-lon-view-song-gia-re-5141138
10.76451,106.74686,131,22000.0,can-ho-cho-thue-chung-cu-cao-cap-3551, ,Phường An Phú,Quận 2,TP.Hồ Chí Minh,18.10.2017,,http://www.muabannhadat.vn/can-ho-cho-thue-chung-cu-cao-cap-3551/cho-thue-chcc-imperia-q2-131m2-3-pn-nha-vi-tri-dep-5986893
10.72051,106.62091,68,Secret,can-ho-ban-chung-cu-3529, ,Phường 16,Quận 8,TP.Hồ Chí Minh,18.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/heaven-cityview-70m2-2pn-2wc-tt-450tr-nhan-nha-can-6316233
21.03650,105.78562,110,Secret,can-ho-ban-chung-cu-cao-cap-3530,Xuân Thủy Cầu Giấy ,Phường Yên Hòa,Quận Cầu Giấy,TP.Hà Nội,18.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/ban-chung-cu-tang-6-toa-pico-173-xuan-thuy-cau-gia-6320403
10.76451,106.74686,51,Secret,can-ho-ban-chung-cu-cao-cap-3530, ,Phường An Phú,Quận 2,TP.Hồ Chí Minh,17.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/nhan-booking-can-ho-masteri-an-phu-con-sot-dau-tu-6200523
10.80091,106.74191,95,18000.0,can-ho-cho-thue-chung-cu-cao-cap-3551,Song Hành An Phú ,Phường An Phú,Quận 2,TP.Hồ Chí Minh,20.10.2017,,http://www.muabannhadat.vn/can-ho-cho-thue-chung-cu-cao-cap-3551/cho-thue-ban-can-ho-imperia-quan-2-gia-hot-18-trie-6326865
10.76459,106.67332,35,Secret,can-ho-ban-chung-cu-cao-cap-3530, ,Phường 02,Quận 5,TP.Hồ Chí Minh,21.10.2017,21.10.2017,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/can-ban-cac-can-ho-van-phong-cua-toa-nha-the-everr-6333611
10.72051,106.62091,50,900,can-ho-ban-chung-cu-3529, ,Phường 16,Quận 8,TP.Hồ Chí Minh,10.10.2017,10.10.2017,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/chcc-heven-riverview-tt-q8-dai-lo-vo-van-kiet-gia-6288216
21.00833,105.79997,60,Secret,can-ho-ban-chung-cu-cao-cap-3530,"Hoàng Đạo Thúy, Nhân Chính, Hà Nội, Việt Nam ",Phường Trung Hoà,Quận Cầu Giấy,TP.Hà Nội,18.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/ban-can-goc-3pn-view-ho-du-an-vinhomes-dcapiale-ch-6320015
21.00833,105.79997,148,Secret,can-ho-ban-chung-cu-cao-cap-3530, ,Phường Trung Hoà,Quận Cầu Giấy,TP.Hà Nội,18.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/toi-ban-can-ho-chung-cu-ct4-vimeco-can-goc-dong-na-6218942
10.80343,106.74666,74,Secret,can-ho-ban-chung-cu-cao-cap-3530,628 Xa lộ Hà Nội ,Phường An Phú,Quận 2,TP.Hồ Chí Minh,12.10.2017,12.10.2017,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/su-kien-mo-ban-ram-ro-nhat-thang-6298673
10.80801,106.73241,70,Secret,can-ho-ban-chung-cu-3529,100 Xa lộ Hà Nội ,Phường Thảo Ðiền,Quận 2,TP.Hồ Chí Minh,13.10.2017,13.10.2017,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/tai-sao-ban-phai-tham-quan-du-an-masteri-an-phu-tr-6305090
20.42918,106.16611,80,16000.0,can-ho-cho-thue-chung-cu-cao-cap-3551,91 Điện Biên thành phố Nam Định ,Phường Cửa Bắc,Thành phố Nam Định,Nam Định,20.10.2017,,http://www.muabannhadat.vn/can-ho-cho-thue-chung-cu-cao-cap-3551/cho-thue-can-ho-cao-cap-nam-dinh-tower-6326850
